"id";"url";"line";"linelength";"savetm"
1;"www.dr.dk";"<body>hej";0;"2020-10-21 09:26:39"
2;"www.dr.dk";"<div adsada";0;"2020-10-21 10:18:41"
3;"www.dr.dk";"<div adsada";0;"2020-10-21 10:18:43"
4;"https://www.dr.dk/";"";0;"2020-10-21 10:36:26"
5;"https://www.dr.dk/";"    <!DOCTYPE html>";0;"2020-10-21 10:36:26"
6;"https://www.dr.dk/";"    <html dir=""ltr"" lang=""da-DK""><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width, initial-scale=1.0""/><meta name=""nr:app-id"" content=""73766358""/><script>";0;"2020-10-21 10:36:26"
7;"https://www.dr.dk/";"              (function() {";0;"2020-10-21 10:36:26"
8;"https://www.dr.dk/";"                function logError(err) {";0;"2020-10-21 10:36:26"
9;"https://www.dr.dk/";"                  try {";0;"2020-10-21 10:36:26"
10;"https://www.dr.dk/";"                    if (/\/hydra\/assets\//.test(err.filename)) {";0;"2020-10-21 10:36:26"
11;"https://www.dr.dk/";"                      var xhr = new XMLHttpRequest();";0;"2020-10-21 10:36:26"
12;"https://www.dr.dk/";"                      xhr.open('get', '/hydra/error?message=' + encodeURIComponent(err.message.substr(0, 256)) + '&filename=' + encodeURIComponent(err.filename) + '&line=' + err.lineno + '&col=' + err.colno, true);";0;"2020-10-21 10:36:26"
13;"https://www.dr.dk/";"                      xhr.send();";0;"2020-10-21 10:36:26"
14;"https://www.dr.dk/";"                    }";0;"2020-10-21 10:36:26"
15;"https://www.dr.dk/";"                  } catch(e) {}";0;"2020-10-21 10:36:26"
16;"https://www.dr.dk/";"                }";0;"2020-10-21 10:36:26"
17;"https://www.dr.dk/";"                function logElementsError(event) {";0;"2020-10-21 10:36:26"
18;"https://www.dr.dk/";"                  logError(event.detail.error);";0;"2020-10-21 10:36:26"
19;"https://www.dr.dk/";"                }";0;"2020-10-21 10:36:26"
20;"https://www.dr.dk/";"                window.addEventListener('error', logError);";0;"2020-10-21 10:36:26"
21;"https://www.dr.dk/";"                window.addEventListener('elements:error', logElementsError);";0;"2020-10-21 10:36:26"
22;"https://www.dr.dk/";"              })();";0;"2020-10-21 10:36:26"
23;"https://www.dr.dk/";"            </script><title data-rh=""true"">DR | TV, radio, nyheder og meget mere</title><link data-rh=""true"" rel=""canonical"" href=""https://www.dr.dk""/><meta data-rh=""true"" name=""apple-itunes-app"" content=""app-id=398346158""/><meta data-rh=""true"" name=""description"" content=""Her finder du nyheder fra DR og alle vores TV- og radiokanaler live og on demand — når du har lyst.""/><meta data-rh=""true"" property=""og:title"" content=""DR | TV, radio, nyheder og meget mere""/><meta data-rh=""true"" property=""og:description"" content=""Her finder du nyheder fra DR og alle vores TV- og radiokanaler live og on demand — når du har lyst.""/><meta data-rh=""true"" property=""og:type"" content=""website""/><meta data-rh=""true"" property=""og:site_name"" content=""DR""/><meta data-rh=""true"" property=""og:image"" content=""https://www.dr.dk/hydra/assets/shareimage.png""/><meta data-rh=""true"" property=""og:url"" content=""https://www.dr.dk""/><meta data-rh=""true"" name=""twitter:card"" content=""summary""/><meta data-rh=""true"" name=""twitter:site"" content=""@DRNyheder""/><meta data-rh=""true"" property=""fb:app_id"" content=""334841956565056""/><script>";0;"2020-10-21 10:36:26"
24;"https://www.dr.dk/";"          (function() {";0;"2020-10-21 10:36:26"
25;"https://www.dr.dk/";"            function readCookie(name) {";0;"2020-10-21 10:36:26"
26;"https://www.dr.dk/";"              return document.cookie.replace(new RegExp('(?:(?:^|.*;\\s*)' + name + '\\s*=\\s*([^;]*).*$)|^.*$'), '$1');";0;"2020-10-21 10:36:26"
27;"https://www.dr.dk/";"            }";0;"2020-10-21 10:36:26"
28;"https://www.dr.dk/";"            function update() {";0;"2020-10-21 10:36:26"
29;"https://www.dr.dk/";"              var cookie = readCookie('CookieConsent');";0;"2020-10-21 10:36:26"
30;"https://www.dr.dk/";"              var types = ['statistics', 'preferences', 'marketing'];";0;"2020-10-21 10:36:26"
31;"https://www.dr.dk/";"              types.forEach(function(type) {";0;"2020-10-21 10:36:26"
32;"https://www.dr.dk/";"                var hasConsent = new RegExp(type+':true').test(cookie);";0;"2020-10-21 10:36:26"
33;"https://www.dr.dk/";"                var nodes = document.querySelectorAll('.hydra-require-cookies[data-type='+ type + ']');";0;"2020-10-21 10:36:26"
34;"https://www.dr.dk/";"                Array.from(nodes).forEach(function(node) {";0;"2020-10-21 10:36:26"
35;"https://www.dr.dk/";"                  node.style.display = hasConsent ? '' : 'none';";0;"2020-10-21 10:36:26"
36;"https://www.dr.dk/";"                });";0;"2020-10-21 10:36:26"
37;"https://www.dr.dk/";"              });";0;"2020-10-21 10:36:26"
38;"https://www.dr.dk/";"            }";0;"2020-10-21 10:36:26"
39;"https://www.dr.dk/";"            window.__hydra_require_cookies_update = update;";0;"2020-10-21 10:36:26"
40;"https://www.dr.dk/";"            window.addEventListener('CookiebotOnConsentReady', update);";0;"2020-10-21 10:36:26"
41;"https://www.dr.dk/";"          })();";0;"2020-10-21 10:36:26"
42;"https://www.dr.dk/";"        </script><meta name=""copyright"" content=""Copyright DR. Materialet må ikke gengives uden tilladelse.""/><meta name=""publisher"" content=""DR, DR BYEN, Emil Holms Kanal 20, DK-0999 København C, tlf.: +45 35 20 30 40""/><script>";0;"2020-10-21 10:36:26"
43;"https://www.dr.dk/";"              window.DR = window.DR || {};";0;"2020-10-21 10:36:26"
44;"https://www.dr.dk/";"              window.DR.autoload = {";0;"2020-10-21 10:36:26"
45;"https://www.dr.dk/";"                errorTracking: false,";0;"2020-10-21 10:36:26"
46;"https://www.dr.dk/";"                globalNavigation: false,";0;"2020-10-21 10:36:26"
47;"https://www.dr.dk/";"                browserSupport: false,";0;"2020-10-21 10:36:26"
48;"https://www.dr.dk/";"                attention: true,";0;"2020-10-21 10:36:26"
49;"https://www.dr.dk/";"                webstat: true,";0;"2020-10-21 10:36:26"
50;"https://www.dr.dk/";"                bannerAds: false";0;"2020-10-21 10:36:26"
51;"https://www.dr.dk/";"              };";0;"2020-10-21 10:36:26"
